State	'integer'	'char'	'boolean'	'string'	'type'	'='	'array'	'['	']'	'of'	'struct'	'{'	'}'	';’	':'	'function'	'('	')'	',’	'var'	'if'	'else'	'while'	'do'	'break'	'continue'	'&&'	'||'	'<'	'>'	'<='	'>='	'=='	'!='	'+'	'-'	'*'	'/'	'++'	'--'	'!'	'.'	Id	'true'	'false'	c	s	n	$	P'	P	LDE	DE	T	DT	DC	DF	LP	B	LDV	LS	DV	LI	S	U	M	E	L	R	Y	F	LE	LV	IDD	IDU	ID	TRUE	FALSE	CHR	STR	NUM	NB	MF	MC	NF	MT	ME	MW	
100	 	 	 	 	 	 	 	 	r64	 	 	 	 	r64	 	 	 	r64	r64	 	 	 	 	 	 	 	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101	 	 	 	 	 	 	 	 	r65	 	 	 	 	r65	 	 	 	r65	r65	 	 	 	 	 	 	 	r65	r65	r65	r65	r65	r65	r65	r65	r65	r65	r65	r65	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
102	 	 	 	 	 	 	 	 	r66	 	 	 	 	r66	 	 	 	r66	r66	 	 	 	 	 	 	 	r66	r66	r66	r66	r66	r66	r66	r66	r66	r66	r66	r66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
103	 	 	 	 	 	 	 	 	r67	 	 	 	 	r67	 	 	 	r67	r67	 	 	 	 	 	 	 	r67	r67	r67	r67	r67	r67	r67	r67	r67	r67	r67	r67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
104	 	 	 	 	 	 	 	 	r76	 	 	 	 	r76	 	 	 	r76	r76	 	 	 	 	 	 	 	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
105	 	 	 	 	 	 	 	 	r77	 	 	 	 	r77	 	 	 	r77	r77	 	 	 	 	 	 	 	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
106	 	 	 	 	 	 	 	 	r78	 	 	 	 	r78	 	 	 	r78	r78	 	 	 	 	 	 	 	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
107	 	 	 	 	 	 	 	 	r79	 	 	 	 	r79	 	 	 	r79	r79	 	 	 	 	 	 	 	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	136	88	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s137	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
110	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s138	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111	 	 	 	 	 	 	 	 	 	 	 	 	 	s139	 	 	 	 	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
112	 	 	 	 	 	r70	 	r70	r70	 	 	 	 	r70	 	 	 	r70	r70	 	 	 	 	 	 	 	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	 	r70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
113	 	 	 	 	 	 	 	 	s140	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
114	 	 	 	 	 	 	 	 	 	 	 	 	 	s141	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
115	 	 	 	 	 	 	 	 	 	 	 	r85	r85	 	 	 	 	 	 	 	r85	r85	r85	r85	r85	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	142	 	 	 
116	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	143	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	144	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
